image_name,image_number,dish_number,timestamp,radius,thickness
swarm787,1,1,2025-01-24 15:56:28,326.0,27.0
swarm787,1,2,2025-01-24 15:56:29,326.0,27.0
swarm787,1,3,2025-01-24 15:56:30,326.0,27.0
swarm787,1,4,2025-01-24 15:56:31,342.0,26.0
swarm787,1,5,2025-01-24 15:56:32,325.0,27.0
swarm787,1,6,2025-01-24 15:56:33,359.0,67.0
swarm788,2,1,2025-01-24 15:56:40,329.0,31.0
swarm788,2,2,2025-01-24 15:56:41,326.0,27.0
swarm788,2,3,2025-01-24 15:56:42,341.0,25.0
swarm788,2,4,2025-01-24 15:56:43,334.0,11.0
swarm788,2,5,2025-01-24 15:56:44,414.0,82.80000000000001
swarm788,2,6,2025-01-24 15:56:45,325.0,27.0
swarm789,3,1,2025-01-24 15:56:51,326.0,27.0
swarm789,3,2,2025-01-24 15:56:52,340.0,24.0
swarm789,3,3,2025-01-24 15:56:53,331.0,33.0
swarm789,3,4,2025-01-24 15:56:54,413.0,82.60000000000001
swarm789,3,5,2025-01-24 15:56:55,326.0,27.0
swarm789,3,6,2025-01-24 15:56:56,342.0,26.0
swarm790,4,1,2025-01-24 15:57:03,327.0,28.0
swarm790,4,2,2025-01-24 15:57:04,326.0,27.0
swarm790,4,3,2025-01-24 15:57:05,327.0,28.0
swarm790,4,4,2025-01-24 15:57:06,326.0,27.0
swarm790,4,5,2025-01-24 15:57:07,360.0,68.0
swarm790,4,6,2025-01-24 15:57:08,326.0,28.0
swarm791,5,1,2025-01-24 15:57:15,327.0,28.0
swarm791,5,2,2025-01-24 15:57:16,327.0,28.0
swarm791,5,3,2025-01-24 15:57:17,326.0,27.0
swarm791,5,4,2025-01-24 15:57:18,333.0,1.0
swarm791,5,5,2025-01-24 15:57:19,326.0,27.0
swarm791,5,6,2025-01-24 15:57:20,326.0,28.0
swarm792,6,1,2025-01-24 15:57:26,326.0,28.0
swarm792,6,2,2025-01-24 15:57:27,327.0,28.0
swarm792,6,3,2025-01-24 15:57:28,340.0,24.0
swarm792,6,4,2025-01-24 15:57:29,326.0,27.0
swarm792,6,5,2025-01-24 15:57:30,357.0,298.0
swarm792,6,6,2025-01-24 15:57:31,341.0,24.0
swarm793,7,1,2025-01-24 15:57:38,247.0,232.0
swarm793,7,2,2025-01-24 15:57:39,326.0,28.0
swarm793,7,3,2025-01-24 15:57:40,326.0,28.0
swarm793,7,4,2025-01-24 15:57:41,326.0,27.0
swarm793,7,5,2025-01-24 15:57:42,327.0,28.0
swarm793,7,6,2025-01-24 15:57:43,340.0,22.0
swarm794,8,1,2025-01-24 15:57:50,327.0,29.0
swarm794,8,2,2025-01-24 15:57:51,326.0,27.0
swarm794,8,3,2025-01-24 15:57:52,334.0,11.0
swarm794,8,4,2025-01-24 15:57:53,327.0,28.0
swarm794,8,5,2025-01-24 15:57:54,330.0,32.0
swarm794,8,6,2025-01-24 15:57:55,327.0,28.0
swarm795,9,1,2025-01-24 15:58:01,326.0,27.0
swarm795,9,2,2025-01-24 15:58:02,327.0,28.0
swarm795,9,3,2025-01-24 15:58:03,340.0,24.0
swarm795,9,4,2025-01-24 15:58:04,323.0,23.0
swarm795,9,5,2025-01-24 15:58:05,327.0,28.0
swarm795,9,6,2025-01-24 15:58:06,326.0,27.0
swarm796,10,1,2025-01-24 15:58:13,327.0,28.0
swarm796,10,2,2025-01-24 15:58:14,326.0,27.0
swarm796,10,3,2025-01-24 15:58:15,340.0,24.0
swarm796,10,4,2025-01-24 15:58:16,327.0,28.0
swarm796,10,5,2025-01-24 15:58:17,351.0,74.0
swarm796,10,6,2025-01-24 15:58:18,326.0,27.0
swarm797,11,1,2025-01-24 15:58:24,327.0,28.0
swarm797,11,2,2025-01-24 15:58:25,326.0,28.0
swarm797,11,3,2025-01-24 15:58:26,333.0,3.0
swarm797,11,4,2025-01-24 15:58:27,327.0,28.0
swarm797,11,5,2025-01-24 15:58:28,331.0,33.0
swarm797,11,6,2025-01-24 15:58:29,360.0,68.0
swarm798,12,1,2025-01-24 15:58:36,352.0,306.0
swarm798,12,2,2025-01-24 15:58:37,326.0,27.0
swarm798,12,3,2025-01-24 15:58:38,329.0,14.0
swarm798,12,4,2025-01-24 15:58:39,327.0,28.0
swarm798,12,5,2025-01-24 15:58:40,326.0,27.0
swarm798,12,6,2025-01-24 15:58:41,327.0,28.0
swarm799,13,1,2025-01-24 15:58:48,350.0,302.0
swarm799,13,2,2025-01-24 15:58:49,327.0,28.0
swarm799,13,3,2025-01-24 15:58:50,326.0,28.0
swarm799,13,4,2025-01-24 15:58:51,336.0,15.0
swarm799,13,5,2025-01-24 15:58:52,331.0,33.0
swarm799,13,6,2025-01-24 15:58:53,341.0,24.0
swarm800,14,1,2025-01-24 15:58:59,328.0,29.0
swarm800,14,2,2025-01-24 15:59:00,326.0,28.0
swarm800,14,3,2025-01-24 15:59:01,326.0,28.0
swarm800,14,4,2025-01-24 15:59:02,326.0,27.0
swarm800,14,5,2025-01-24 15:59:03,353.0,101.0
swarm800,14,6,2025-01-24 15:59:04,341.0,24.0
swarm801,15,1,2025-01-24 15:59:11,326.0,27.0
swarm801,15,2,2025-01-24 15:59:12,326.0,27.0
swarm801,15,3,2025-01-24 15:59:13,326.0,28.0
swarm801,15,4,2025-01-24 15:59:14,329.0,14.0
swarm801,15,5,2025-01-24 15:59:15,326.0,27.0
swarm801,15,6,2025-01-24 15:59:16,341.0,24.0
swarm802,16,1,2025-01-24 15:59:22,327.0,29.0
swarm802,16,2,2025-01-24 15:59:23,327.0,28.0
swarm802,16,3,2025-01-24 15:59:24,316.0,305.0
swarm802,16,4,2025-01-24 15:59:25,327.0,28.0
swarm802,16,5,2025-01-24 15:59:26,326.0,27.0
swarm802,16,6,2025-01-24 15:59:27,341.0,24.0
swarm803,17,1,2025-01-24 15:59:34,12.0,6.0
swarm803,17,2,2025-01-24 15:59:35,327.0,29.0
swarm803,17,3,2025-01-24 15:59:36,341.0,25.0
swarm803,17,4,2025-01-24 15:59:37,327.0,29.0
swarm803,17,5,2025-01-24 15:59:38,331.0,33.0
swarm803,17,6,2025-01-24 15:59:39,317.0,10.0
swarm804,18,1,2025-01-24 15:59:46,351.0,47.0
swarm804,18,2,2025-01-24 15:59:47,327.0,29.0
swarm804,18,3,2025-01-24 15:59:48,327.0,28.0
swarm804,18,4,2025-01-24 15:59:48,326.0,27.0
swarm804,18,5,2025-01-24 15:59:49,326.0,27.0
swarm804,18,6,2025-01-24 15:59:50,327.0,29.0
swarm805,19,1,2025-01-24 15:59:57,327.0,28.0
swarm805,19,2,2025-01-24 15:59:58,328.0,29.0
swarm805,19,3,2025-01-24 15:59:59,327.0,28.0
swarm805,19,4,2025-01-24 16:00:00,327.0,28.0
swarm805,19,5,2025-01-24 16:00:01,327.0,29.0
swarm805,19,6,2025-01-24 16:00:02,329.0,31.0
swarm806,20,1,2025-01-24 16:00:08,328.0,29.0
swarm806,20,2,2025-01-24 16:00:09,328.0,24.0
swarm806,20,3,2025-01-24 16:00:10,326.0,27.0
swarm806,20,4,2025-01-24 16:00:11,328.0,30.0
swarm806,20,5,2025-01-24 16:00:12,327.0,28.0
swarm806,20,6,2025-01-24 16:00:13,327.0,29.0
swarm807,21,1,2025-01-24 16:00:20,326.0,28.0
swarm807,21,2,2025-01-24 16:00:21,326.0,27.0
swarm807,21,3,2025-01-24 16:00:22,327.0,28.0
swarm807,21,4,2025-01-24 16:00:23,331.0,32.0
swarm807,21,5,2025-01-24 16:00:24,361.0,66.0
swarm807,21,6,2025-01-24 16:00:25,302.0,60.400000000000006
swarm808,22,1,2025-01-24 16:00:31,327.0,28.0
swarm808,22,2,2025-01-24 16:00:32,328.0,29.0
swarm808,22,3,2025-01-24 16:00:33,327.0,28.0
swarm808,22,4,2025-01-24 16:00:34,327.0,28.0
swarm808,22,5,2025-01-24 16:00:35,327.0,28.0
swarm808,22,6,2025-01-24 16:00:36,353.0,47.0
swarm809,23,1,2025-01-24 16:00:43,327.0,28.0
swarm809,23,2,2025-01-24 16:00:44,327.0,29.0
swarm809,23,3,2025-01-24 16:00:45,327.0,28.0
swarm809,23,4,2025-01-24 16:00:46,327.0,28.0
swarm809,23,5,2025-01-24 16:00:47,328.0,29.0
swarm809,23,6,2025-01-24 16:00:48,334.0,14.0
swarm810,24,1,2025-01-24 16:00:54,328.0,30.0
swarm810,24,2,2025-01-24 16:00:55,328.0,29.0
swarm810,24,3,2025-01-24 16:00:56,433.0,86.60000000000001
swarm810,24,4,2025-01-24 16:00:57,327.0,29.0
swarm810,24,5,2025-01-24 16:00:58,327.0,28.0
swarm810,24,6,2025-01-24 16:00:59,351.0,42.0
swarm811,25,1,2025-01-24 16:01:06,326.0,27.0
swarm811,25,2,2025-01-24 16:01:07,334.0,10.0
swarm811,25,3,2025-01-24 16:01:08,328.0,29.0
swarm811,25,4,2025-01-24 16:01:09,327.0,28.0
swarm811,25,5,2025-01-24 16:01:10,351.0,42.0
swarm811,25,6,2025-01-24 16:01:11,327.0,29.0
swarm812,26,1,2025-01-24 16:01:18,327.0,29.0
swarm812,26,2,2025-01-24 16:01:19,353.0,342.0
swarm812,26,3,2025-01-24 16:01:20,327.0,28.0
swarm812,26,4,2025-01-24 16:01:21,328.0,29.0
swarm812,26,5,2025-01-24 16:01:22,328.0,29.0
swarm812,26,6,2025-01-24 16:01:23,329.0,13.0
swarm813,27,1,2025-01-24 16:01:29,328.0,29.0
swarm813,27,2,2025-01-24 16:01:30,328.0,29.0
swarm813,27,3,2025-01-24 16:01:31,342.0,23.0
swarm813,27,4,2025-01-24 16:01:32,328.0,29.0
swarm813,27,5,2025-01-24 16:01:33,327.0,28.0
swarm813,27,6,2025-01-24 16:01:34,327.0,29.0
